,time,latitude,longitude,platform
2343,2023-04-01 17:57:37,-37.73266666666667,17.867833333333333,WGSV3-052
2342,2023-04-01 18:12:37,-37.73683333333334,17.866666666666667,WGSV3-052
2341,2023-04-01 18:27:37,-37.741,17.865666666666666,WGSV3-052
2340,2023-04-01 18:42:37,-37.74516666666667,17.8645,WGSV3-052
2339,2023-04-01 18:57:37,-37.74916666666666,17.863333333333333,WGSV3-052
2338,2023-04-01 19:12:37,-37.753,17.862333333333332,WGSV3-052
2337,2023-04-01 19:27:37,-37.757333333333335,17.86116666666667,WGSV3-052
2336,2023-04-01 19:42:37,-37.7615,17.860166666666665,WGSV3-052
2335,2023-04-01 19:57:37,-37.765499999999996,17.858999999999998,WGSV3-052
2334,2023-04-01 20:12:37,-37.76933333333333,17.858,WGSV3-052
2333,2023-04-01 20:27:37,-37.77316666666666,17.855999999999998,WGSV3-052
2332,2023-04-01 20:42:37,-37.776500000000006,17.854166666666668,WGSV3-052
2331,2023-04-01 20:57:37,-37.7795,17.852666666666668,WGSV3-052
2330,2023-04-01 21:12:37,-37.782666666666664,17.851,WGSV3-052
2329,2023-04-01 21:41:42,-37.790499999999994,17.852500000000003,WGSV3-052
2328,2023-04-01 21:56:42,-37.79483333333334,17.854666666666667,WGSV3-052
2327,2023-04-01 22:11:42,-37.799166666666665,17.857000000000003,WGSV3-052
2326,2023-04-01 22:26:42,-37.8025,17.862000000000002,WGSV3-052
2325,2023-04-01 22:41:42,-37.80466666666667,17.869000000000003,WGSV3-052
2324,2023-04-01 22:56:42,-37.80683333333333,17.875333333333334,WGSV3-052
2323,2023-04-01 23:11:42,-37.806333333333335,17.882333333333335,WGSV3-052
2322,2023-04-01 23:26:42,-37.803999999999995,17.889333333333333,WGSV3-052
2502,2023-04-01 23:41:42,-37.80166666666666,17.8965,WGSV3-052
2501,2023-04-01 23:56:42,-37.79683333333333,17.9005,WGSV3-052
2500,2023-04-02 00:11:42,-37.7915,17.903166666666667,WGSV3-052
2499,2023-04-02 00:26:42,-37.785833333333336,17.906166666666664,WGSV3-052
2498,2023-04-02 00:41:42,-37.781166666666664,17.904333333333334,WGSV3-052
2497,2023-04-02 00:56:42,-37.777,17.90216666666667,WGSV3-052
2496,2023-04-02 01:11:42,-37.773,17.9,WGSV3-052
2495,2023-04-02 01:26:42,-37.76916666666667,17.897666666666666,WGSV3-052
2494,2023-04-02 01:55:48,-37.76649999999999,17.889666666666667,WGSV3-052
2493,2023-04-02 02:10:48,-37.76533333333334,17.886000000000003,WGSV3-052
2492,2023-04-02 02:25:48,-37.764,17.882,WGSV3-052
2491,2023-04-02 02:40:48,-37.76283333333333,17.877833333333335,WGSV3-052
2490,2023-04-02 02:55:48,-37.76383333333333,17.8745,WGSV3-052
2489,2023-04-02 03:10:48,-37.765,17.871,WGSV3-052
2488,2023-04-02 03:25:48,-37.766,17.867833333333333,WGSV3-052
2487,2023-04-02 03:40:48,-37.76716666666667,17.86433333333333,WGSV3-052
2486,2023-04-02 03:55:48,-37.76833333333333,17.860666666666667,WGSV3-052
2485,2023-04-02 04:10:48,-37.769999999999996,17.857333333333333,WGSV3-052
2484,2023-04-02 04:25:48,-37.77316666666666,17.855833333333333,WGSV3-052
2483,2023-04-02 04:40:48,-37.776500000000006,17.854,WGSV3-052
2482,2023-04-02 04:55:48,-37.78,17.852333333333334,WGSV3-052
2481,2023-04-02 05:10:48,-37.783500000000004,17.8505,WGSV3-052
2480,2023-04-02 05:25:48,-37.7875,17.850666666666665,WGSV3-052
2479,2023-04-02 05:40:48,-37.79183333333334,17.853,WGSV3-052
2478,2023-04-02 06:09:53,-37.80016666666667,17.855666666666664,WGSV3-052
2477,2023-04-02 06:24:53,-37.80433333333334,17.857000000000003,WGSV3-052
2476,2023-04-02 06:39:53,-37.80866666666667,17.8585,WGSV3-052
2475,2023-04-02 06:54:53,-37.8135,17.86,WGSV3-052
2474,2023-04-02 07:09:53,-37.818,17.8615,WGSV3-052
2473,2023-04-02 07:24:53,-37.82266666666667,17.863,WGSV3-052
2472,2023-04-02 07:39:53,-37.82733333333333,17.8645,WGSV3-052
2471,2023-04-02 07:54:53,-37.832,17.866,WGSV3-052
2470,2023-04-02 08:09:53,-37.82966666666667,17.868833333333335,WGSV3-052
2469,2023-04-02 08:24:53,-37.824666666666666,17.8715,WGSV3-052
2468,2023-04-02 08:39:53,-37.819833333333335,17.874166666666667,WGSV3-052
